Band Material,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-HydroConquest-Quartz-44mm-L3-840-4-56-6.html
,,Uni-Directional Rotating,,,44mm ,Stainless Steel,Round,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-HydroConquest-Quartz-44mm-L3-840-4-96-6.html
,,,,,33mm ,Stainless Steel,Round,5mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.11.2.html
,,,,,33mm ,Stainless Steel,Round,5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.72.6.html
,,Uni-Directional Rotating,,,43mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,200m/660ft,https://www.prestigetime.com/Tag-Heuer-Formula-1-Quartz-43mm-waz1010-fc8197.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.9mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-st-00300.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.9mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-st-00607.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.9mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-st-20001.html
,,Fixed,,,39mm ,Stainless Steel,Round,7.9mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-st-50001.html
,,Fixed,,,26.3mm X 32.1mm ,Stainless Steel,Rectangle,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/100ft.,https://www.prestigetime.com/item/Longines/DolceVita-Quartz-Mens/L5.655.4.73.6.html
