Band Material,Band Name,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Clasp Features,Clasp Notes,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
Stainless Steel,,,Fixed,,Transparent,39mm ,Stainless Steel,Round,,Deployant Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,100m,https://www.prestigetime.com/item/Oris/Artix-Date-39mm/01_733_7713_4031-07_8_19_80.html
Stainless Steel,,,Fixed,,Transparent,39mm ,Stainless Steel,Round,,Deployant Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Automatic,No,100m,https://www.prestigetime.com/item/Oris/Artix-Date-39mm/01_733_7713_4035-07_8_19_80.html
Stainless Steel,,,,,Transparent,39mm ,Stainless Steel,Round,8.5mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,White,,20mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Elegant-Automatic-39mm/L4.910.4.12.6.html
Stainless Steel,,,,,Transparent,39mm ,Stainless Steel,Round,8.5mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,20mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Elegant-Automatic-39mm/L4.910.4.72.6.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,40mm ,Stainless Steel,Round,,Deployant Buckle,,,Brown,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,Automatic,No,50m,https://www.prestigetime.com/item/Longines/Conquest-Classic-Automatic-40mm/L2.785.4.76.3.html
Stainless Steel & Ceramic,,,Fixed,,Solid,43mm ,Stainless Steel,Round,11.5mm,Folding Clasp With Safety Latch,,,,Chronograph,New/Unworn,Scratch Resistant Sapphire,Grey,,,Quartz,Yes,200m/660ft,https://www.prestigetime.com/Tag-Heuer-Formula-1-Chronograph-caz1011-ba0843.html
Stainless Steel & Plated Yellow Gold,,,Fixed,,Transparent,35.6mm ,Stainless Steel & Plated Yellow Gold,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Flagship-Automatic/L4.774.3.27.7.html
Stainless Steel & Plated Yellow Gold,,,Fixed,,Transparent,35.6mm ,Stainless Steel & Plated Yellow Gold,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Champagne,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Flagship-Automatic/L4.774.3.37.7.html
Stainless Steel & Plated Yellow Gold,,,Fixed,,Transparent,35.6mm ,Stainless Steel & Plated Yellow Gold,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Flagship-Automatic/L4.774.3.57.7.html
Stainless Steel,,,,,Transparent,37mm ,Stainless Steel,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,19mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Elegant-Automatic-37mm/L4.810.4.12.6.html
Stainless Steel,,,,,Transparent,37mm ,Stainless Steel,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Grey,,19mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Elegant-Automatic-37mm/L4.810.4.72.6.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,41mm ,Stainless Steel,Round,10.5mm,Push Button Folding Clasp,,,Brown,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/The-Saint-Imier-41mm/L2.766.4.79.0.html
Stainless Steel,,,Fixed,,Transparent,30mm X 44mm ,Stainless Steel,Round,10.70mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,22mm,Automatic,No,30m,https://www.prestigetime.com/Oris-Rectangular-Date-01-561-7657-4034-07-8-21-82.html
Rubber,,,Uni-Directional Rotating,,Solid,43mm ,Stainless Steel,Round,12.60mm,Push Button Deployant Buckle,,with extension,Black,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Grey,Limited Edition,26mm,Automatic,Yes,300m,https://www.prestigetime.com/item/Oris/Aquis-Red-Limited-Edition/01_733_7653_4183-Set_RS.html
Alligator/Crocodile Leather,,,,,Transparent,38.5mm ,Stainless Steel,Round,9.5mm,Deployant Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-38-5mm/L2.628.4.78.3.html
Stainless Steel,,,,,Transparent,38.5mm ,Stainless Steel,Round,9.5mm,Hidden Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-38-5mm/L2.628.4.78.6.html
Alligator/Crocodile Leather,,,Fixed,,Solid,35mm ,Stainless Steel,Round,10mm,Tang Buckle,,,Black,,New/Unworn,Hesalite,Silver,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Conquest-Heritage/L1.611.4.75.4.html
Alligator/Crocodile Leather,,,Fixed,,Solid,41mm ,Stainless Steel,Round,14mm,Tang Buckle,,,Brown,Chronograph,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,30m/99ft,https://www.prestigetime.com/item/Longines/Heritage-Chronograph/L2.745.4.73.2.html
Stainless Steel & Plated Yellow Gold,,,Fixed,,Transparent,35.6mm ,Stainless Steel & Yellow Gold,Round,9.8mm,Push Button Folding Clasp,,,Polished,Day/Date,New/Unworn,Scratch Resistant Sapphire,Gold,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Flagship-Automatic-Day-Date/L4.799.3.32.7.html
Alligator/Crocodile Leather,,,,,Transparent,40mm ,Stainless Steel,Round,9.5mm,Push Button Deployant Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,21mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-40mm/L2.793.4.51.7.html
Stainless Steel,,Alligator/Crocodile Print,Fixed,,Transparent,40mm ,Stainless Steel,Round,11.90mm,Push Button Folding Clasp,,,,"Moonphase, Day/Date",New/Unworn,Scratch Resistant Sapphire,Silver,,20mm,Automatic,No,30m/100ft,https://www.prestigetime.com/item/Oris/Big-Crown-Complication-40mm/01_582_7678_4061-07_8_20_30.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,43mm ,Stainless Steel,Round,15mm,Folding Clasp With Safety Latch,,,Brushed,Chronograph,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Quartz-Chronograph-cay111a-ba0927.html
Alligator/Crocodile Leather,,,Fixed,,Solid,44mm ,Stainless Steel,Round,12.5mm,Tang Buckle,,,Black,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,25mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Heritage-Classic/L2.811.4.53.0.html
Calfskin Leather,,,Fixed,,,42mm ,Stainless Steel,Round,,Deployant Clasp,,,Brown,Chronograph,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/160ft,https://www.prestigetime.com/Ebel-Wave-Chronograph-42mm-1216341.html
Calfskin Leather,,,Fixed,,,42mm ,Stainless Steel,Round,,Deployant Clasp,,,Black,Chronograph,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,No,50m/160ft,https://www.prestigetime.com/Ebel-Wave-Chronograph-42mm-1216343.html
Calfskin Leather,,Alligator/Crocodile Print,Fixed,,Transparent,40.5mm ,Stainless Steel,Round,10.70mm,Push Button Deployant Buckle,,,Brown,Regulator or Regulateur,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,21mm,Automatic,No,50m,https://www.prestigetime.com/Oris-Artelier-Regulateur-01-749-7667-4051-07-5-21-70FC.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,40mm ,Stainless Steel,Round,13.14mm,Tang Buckle,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Blue,,20mm,Automatic,Yes,100m,https://www.prestigetime.com/Oris-Divers-Sixty-Five-40mm-01-733-7707-4035-07-8-20-18.html
Calfskin Leather,,,Fixed,,Transparent,42mm ,PVD,Round,10.2mm,Deployant Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Freelancer/2710-pc5-20011.html
Stainless Steel,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,,Deployant Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Automatic,No,100m,https://www.prestigetime.com/item/Oris/Artix-Date-42mm/01_733_7642_4035-07_8_21_80.html
Stainless Steel,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,,Deployant Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,100m,https://www.prestigetime.com/item/Oris/Artix-Date-42mm/01_733_7642_4031-07_8_21_80.html
Stainless Steel,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,,Deployant Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,100m,https://www.prestigetime.com/item/Oris/Artix-Date-42mm/01_733_7642_4034-07_8_21_80.html
Alligator/Crocodile Leather,,,Fixed,,Solid,39mm ,Stainless Steel,Round,7.47mm,Tang Buckle,,Stainless steel,Brown,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,19mm,Quartz,No,30m/100ft,https://www.prestigetime.com/Montblanc-Star-Classique-Date-Quartz-39mm-108770.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,40.5mm ,Stainless Steel,Round,12mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-way2110-ba0928.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,40.5mm ,Stainless Steel,Round,12mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Automatic,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-way2112-ba0928.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,40.5mm ,Stainless Steel,Round,12mm,Push Button Folding Clasp,,,Brushed,,New/Unworn,Scratch Resistant Sapphire,Grey,,,Automatic,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-way2113-ba0928.html
Stainless Steel & Plated Yellow Gold,,,Uni-Directional Rotating,,Solid,40.5mm ,Stainless Steel & Plated Yellow Gold,Round,,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Quartz-way1120-bb0930.html
Calfskin Leather,,Velour Leather,,,Transparent,36mm ,Stainless Steel,Round,8.17mm,Tang Buckle,,,Grey,,New/Unworn,Scratch Resistant Sapphire,White,,18mm,Manual Wind,No,100m/330ft,https://www.prestigetime.com/Nomos-Glashutte-Club-Campus-36mm-709-Sapphire-Crystal-Back.html
Alligator/Crocodile Leather,,,,,Transparent,38mm ,Stainless Steel,Round,5.8mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Silver,,19mm,Manual Wind,No,,https://www.prestigetime.com/Montblanc-Heritage-Chronometrie-Ultra-Slim-Manual-Wind-112515.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,41mm ,Stainless Steel,Round,,Folding Clasp With Safety Latch,,,,Chronograph,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Automatic-Chronograph-41mm/L3.744.4.56.6.html
Stainless Steel,,,Fixed,,Transparent,30mm X 44mm ,Stainless Steel,Round,10.70mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,22mm,Automatic,No,30m,https://www.prestigetime.com/Oris-Rectangular-Date-01-561-7693-4031-07-8-22-20.html
Stainless Steel,,,Fixed,,Transparent,30mm X 44mm ,Stainless Steel,Round,10.70mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,22mm,Automatic,No,30m,https://www.prestigetime.com/Oris-Rectangular-Date-01-561-7693-4061-07-8-22-20.html
Stainless Steel,,,Fixed,,Transparent,38.5mm ,Stainless Steel,Round,10.6mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/The-Saint-Imier-38mm/L2.763.4.72.6.html
Calfskin Leather,,Alligator/Crocodile Print,Fixed,,Transparent,42mm ,Stainless Steel,Round,12.10mm,Push Button Deployant Buckle,,,Brown,Moonphase,New/Unworn,Scratch Resistant Sapphire,Silver,,21mm,Automatic,No,100m,https://www.prestigetime.com/item/Oris/Artix-Pointer-Moon-Date/01_761_7691_4051-07_5_21_80FC.html
Calfskin Leather,,Alligator/Crocodile Print,Fixed,,Transparent,42mm ,Stainless Steel,Round,12.10mm,Push Button Deployant Buckle,,,Black,Moonphase,New/Unworn,Scratch Resistant Sapphire,Black,,21mm,Automatic,No,100m,https://www.prestigetime.com/item/Oris/Artix-Pointer-Moon-Date/01_761_7691_4054-07_5_21_81FC.html
Calfskin Leather,,,Fixed,,Transparent,40.5mm ,Stainless Steel,Round,11.90mm,Deployant Buckle,,,Brown,"Moonphase, Day/Date",New/Unworn,Scratch Resistant Sapphire,Silver,,21mm,Automatic,No,30m/100ft,https://www.prestigetime.com/item/Oris/Artelier-Complication/01_781_7703_4051-07_5_21_70FC.html
Calfskin Leather,,,Fixed,,Transparent,40.5mm ,Stainless Steel,Round,11.90mm,Deployant Buckle,,,Blue,"Moonphase, Day/Date",New/Unworn,Scratch Resistant Sapphire,Silver,,21mm,Automatic,No,30m/100ft,https://www.prestigetime.com/item/Oris/Artelier-Complication/01_781_7703_4031-07_5_21_75FC.html
Calfskin Leather,,,Fixed,,Transparent,40.5mm ,Stainless Steel,Round,11.90mm,Deployant Buckle,,,Black,"Moonphase, Day/Date",New/Unworn,Scratch Resistant Sapphire,Black,,21mm,Automatic,No,30m/100ft,https://www.prestigetime.com/item/Oris/Artelier-Complication/01_781_7703_4054-07_5_21_71FC.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,11.10mm,Push Button Deployant Buckle,,,Black,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,22mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Artelier-Small-Second-Pointer-Date/01_744_7665_4054-07_1_22_74FC.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,11.10mm,Push Button Deployant Buckle,,,Brown,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,22mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Artelier-Small-Second-Pointer-Date/01_744_7665_4051-07_1_22_73FC.html
Stainless Steel,,,Fixed,,Transparent,44mm ,Stainless Steel,Round,11.30mm,Push Button Folding Clasp,,,,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,23mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Artelier-Small-Second-Pointer-Day/01_745_7666_4054-07_8_23_77.html
Stainless Steel,,,Fixed,,Transparent,45mm ,Stainless Steel,Round,,Deployant Clasp,,,,GMT Time Zone,New/Unworn,Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Big-Crown-ProPilot-GMT-Small-Seconds-45mm/01_748_7710_4164-07_8_22_19.html
Alligator/Crocodile Leather,,,Fixed,,Solid,41mm ,Stainless Steel,Round,14mm,Tang Buckle,,,Black,Chronograph,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,30m/99ft,https://www.prestigetime.com/item/Longines/Heritage-Chronograph/L2.745.4.53.4.html
Stainless Steel,,,Fixed,,Transparent,35.6mm ,Stainless Steel,Round,9.8mm,Push Button Folding Clasp,,,Polished,Day/Date,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Flagship-Automatic-Day-Date/L4.799.4.57.6.html
Leather,,Horween Genuine Shell Cordovan,,,Solid,35mm ,Stainless Steel,Round,6.25mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,18mm,Manual Wind,No,30m/100ft,https://www.prestigetime.com/Nomos-Glashutte-Ludwig-35mm-201-Stainless-Steel-Back.html
Leather,,Horween Genuine Shell Cordovan,,,Transparent,36mm ,Stainless Steel,Round,8.37mm,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,White,,18mm,Manual Wind,No,100m/330ft,https://www.prestigetime.com/Nomos-Glashutte-Club-36mm-703-Sapphire-Crystal-Back.html
Alligator/Crocodile Leather,,,Fixed,,Solid,42mm ,Stainless Steel,Round,15.5mm,Deployant Buckle,,,Black,GMT Time Zone,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,Yes,100m/300ft,https://www.prestigetime.com/item/Longines/Admiral-GMT/L3.668.4.76.0.html
Stainless Steel & Yellow Gold,,,Fixed,,Solid,40mm ,Stainless Steel & Yellow Gold,Round,,Hidden Folding Clasp,,,Brushed & Polished,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/160ft.,https://www.prestigetime.com/item/Ebel/Ebel-Wave-Quartz-40mm/1216202.html
Stainless Steel & Plated Rose Gold,,Alligator/Crocodile Print,Fixed,,Transparent,40mm ,Stainless Steel & Plated Rose Gold,Round,11.90mm,Push Button Folding Clasp,,,,"Moonphase, Day/Date",New/Unworn,Scratch Resistant Sapphire,Black,,20mm,Automatic,No,30m/100ft,https://www.prestigetime.com/item/Oris/Big-Crown-Complication-40mm/01_582_7678_4364-07_8_20_32.html
Stainless Steel & Plated Rose Gold,,Alligator/Crocodile Print,Fixed,,Transparent,40mm ,Stainless Steel & Plated Rose Gold,Round,11.90mm,Push Button Folding Clasp,,,,"Moonphase, Day/Date",New/Unworn,Scratch Resistant Sapphire,Silver,,20mm,Automatic,No,30m/100ft,https://www.prestigetime.com/item/Oris/Big-Crown-Complication-40mm/01_582_7678_4361-07_8_20_32.html
Calfskin Leather,,,Bi-Directional Rotating,,Transparent,44mm ,Stainless Steel,Round,,Push Button Deployant Buckle,,,Black,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,Limited Edition,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Calobra-Limited-Edition/01_735_7706_4494-Set_LS.html
Stainless Steel,,,Fixed,,,42mm ,Stainless Steel,Round,,Deployant Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,No,50m/160ft,https://www.prestigetime.com/Ebel-Wave-Chronograph-42mm-1216342.html
Stainless Steel,,,Fixed,,,42mm ,Stainless Steel,Round,,Deployant Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m/160ft,https://www.prestigetime.com/Ebel-Wave-Chronograph-42mm-1216340.html
Stainless Steel,,,Fixed,,,42mm ,Stainless Steel,Round,,Deployant Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,No,50m/160ft,https://www.prestigetime.com/Ebel-Wave-Chronograph-42mm-1216344.html
Stainless Steel,,,Bi-Directional Rotating,,Transparent,37mm ,Stainless Steel,Round,11.10mm,Push Button Folding Clasp,,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,18mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Artix-GT-Date-37mm/01_733_7671_4461-07_8_18_85.html
Stainless Steel,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,12.10mm,Push Button Folding Clasp,,,,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,21mm,Automatic,No,100m/330ft,https://www.prestigetime.com/item/Oris/Artix-Pointer-Day-Date/01_755_7691_4051-07_8_21_80.html
Stainless Steel,,,Fixed,,Transparent,42mm ,Stainless Steel,Round,12.10mm,Push Button Folding Clasp,,,,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,21mm,Automatic,No,100m/330ft,https://www.prestigetime.com/item/Oris/Artix-Pointer-Day-Date/01_755_7691_4054-07_8_21_80.html
Stainless Steel,,,Fixed,Yes,Transparent,40mm ,Stainless Steel,Round,11.50mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,21mm,Automatic - Chronometer,No,50m,https://www.prestigetime.com/Oris-Artelier-Chronometer-Date-01-737-7721-4031-07-8-21-79.html
Alligator/Crocodile Leather,,,,,Transparent,40mm ,Stainless Steel,Round,9.5mm,Push Button Deployant Buckle,,,Grey,,New/Unworn,Scratch Resistant Sapphire,Grey,,21mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/Longines-Master-Automatic-40mm-L2-793-4-71-5.html
Stainless Steel,,,,,Transparent,38.5mm ,Stainless Steel,Round,9.5mm,Hidden Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,20mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/Longines-Master-Automatic-L2-628-4-92-6.html
Stainless Steel,,,,,Transparent,36mm ,Stainless Steel,Round,9.5mm,Hidden Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-36mm/L2.518.4.78.6.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,44mm ,Stainless Steel,Round,11.1mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Maestro/2851-stc-00659.html
Stainless Steel,,,Bi-Directional Rotating,,Transparent,42mm ,Stainless Steel,Round,11.60mm,Push Button Folding Clasp,,,,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,21mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Artix-GT-Day-Date-42mm/01_735_7662_4461-07_8_21_85.html
Calfskin Leather,,,Fixed,,Transparent,45mm ,Stainless Steel,Round,,Deployant Buckle,,,Black,GMT Time Zone,New/Unworn,Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Big-Crown-ProPilot-GMT-Small-Seconds-45mm/01_748_7710_4164-07_5_22_19FC.html
Fabric,,,Fixed,,Transparent,45mm ,Stainless Steel,Round,,Deployant Buckle,,,Green,GMT Time Zone,New/Unworn,Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Big-Crown-ProPilot-GMT-Small-Seconds-45mm/01_748_7710_4164-07_5_22_14FC.html
Fabric,,,Fixed,,Transparent,45mm ,Stainless Steel,Round,,Deployant Buckle,,,Black,GMT Time Zone,New/Unworn,Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/Big-Crown-ProPilot-GMT-Small-Seconds-45mm/01_748_7710_4164-07_5_22_15FC.html
Stainless Steel,,,Uni-Directional Rotating,,Transparent,42mm ,Stainless Steel,Round,12.10mm,Push Button Folding Clasp,,,Black,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,22mm,Automatic,Yes,100m/330ft,https://www.prestigetime.com/Oris-Artix-GT-Day-Date-01-735-7662-4424-07-8-21-87.html
Leather,,Horween Genuine Shell Cordovan,,,Solid,35mm ,Stainless Steel,Round,6.2mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,18mm,Manual Wind,No,30m/100ft,https://www.prestigetime.com/Nomos-Glashutte-Tangente-35mm-101-Stainless-Steel-Back.html
Stainless Steel & Plated Yellow Gold,,,Fixed,,Transparent,38.5mm ,Stainless Steel & Plated Yellow Gold,Round,8mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Gold,,20mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Flagship-Automatic/L4.874.3.37.7.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,44mm ,Stainless Steel,Round,11.30mm,Push Button Deployant Buckle,,,Black,Day/Date,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,23mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Artelier-Small-Second-Pointer-Day/01_745_7666_4054-07_1_23_74FC.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,43mm ,Stainless Steel,Round,15mm,Folding Clasp With Safety Latch,,,Brushed,Chronograph,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Quartz-Chronograph-cay111b-ba0927.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,43mm ,Stainless Steel,Round,12mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-43mm-way2010-ba0927.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,43mm ,Stainless Steel,Round,12mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Automatic,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-43mm-way2012-ba0927.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,40.5mm ,Stainless Steel,Round,11.90mm,Deployant Buckle,,,Brown,"GMT Time Zone, Moonphase, Day/Date",New/Unworn,Scratch Resistant Sapphire,Silver,,21mm,Automatic,No,30m/100ft,https://www.prestigetime.com/item/Oris/Artelier-Complication/01_781_7729_4031-07_5_21_65FC.html
Leather,,,Fixed,,Transparent,40.5mm ,Stainless Steel,Round,11.90mm,Push Button Folding Clasp,,,Blue,"GMT Time Zone, Moonphase, Day/Date",New/Unworn,Scratch Resistant Sapphire,Silver,,21mm,Automatic,No,30m/100ft,https://www.prestigetime.com/Oris-Artelier-Complication-01-781-7729-4051-07-5-21-66FC.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,43mm ,Stainless Steel,Round,12mm,Push Button Folding Clasp,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,Automatic,Yes,300m,https://www.prestigetime.com/Tag-Heuer-Aquaracer-Automatic-43mm-way2013-ba0927.html
Stainless Steel,,,Fixed,,Transparent,38.5mm ,Stainless Steel,Round,10.6mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/The-Saint-Imier-38mm/L2.763.4.52.6.html
Alligator/Crocodile Leather,,,,,Transparent,40mm ,Stainless Steel,Round,9.5mm,Push Button Deployant Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,21mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/Master-Automatic-40mm/L2.793.4.78.3.html
