Band Material,Band Name,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Clasp Features,Clasp Notes,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
Stainless Steel,,,Uni-Directional Rotating,,Solid,34mm ,Stainless Steel,Round,10.8mm,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Blue,,,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-34mm/L3.340.4.96.6.html
Calfskin Leather,,,,,Solid,34mm ,Stainless Steel,Round,,,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,16mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/Longines-Equestrian-L6-138-4-73-2.html
Calfskin Leather,,,,,Solid,34mm ,Stainless Steel,Round,,,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,16mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/Longines-Equestrian-L6-138-4-71-2.html
Stainless Steel,,,,,Solid,36mm ,Stainless Steel,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,20mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-36mm/L4.755.4.11.6.html
Yellow Gold Plated Steel,,,Fixed,,Solid,29mm ,Gold Plated,Round,6.79mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Toccata-29mm/5988-p-97081.html
Stainless Steel,,,Fixed,,Solid,26.5mm ,Stainless Steel,Round,8mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/PrimaLuna-Quartz-26-5mm/L8.110.4.71.6.html
Stainless Steel,,,Fixed,,Solid,30mm ,Stainless Steel,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/PrimaLuna-Quartz-30mm/L8.112.4.71.6.html
Stainless Steel,,,Fixed,,Solid,32mm ,Stainless Steel,Round,8.6mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m,https://www.prestigetime.com/Raymond-Weil-Shine-1600-ST-00659.html
Alligator/Crocodile Leather,,,,,Solid,36mm ,Stainless Steel,Round,6.60mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,18mm,Quartz,No,30m/100ft,https://www.prestigetime.com/Montblanc-Tradition-Date-Quartz-36mm-112635.html
Alligator/Crocodile Leather,,,,,Solid,24mm ,Stainless Steel,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-24mm/L4.209.4.11.2.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,28.5mm ,Stainless Steel,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-28-5mm/01_561_7650_4031-07_5_14_10.html
Stainless Steel,,,,,Solid,24mm ,Stainless Steel,Round,5mm,,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-24mm/L4.209.4.71.6.html
Stainless Steel,,,,,Solid,24mm ,Stainless Steel,Round,5mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-24mm/L4.209.4.72.6.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,28.5mm ,Stainless Steel & Plated Rose Gold,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-28-5mm/01_561_7650_4331-07_5_14_10.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,28.5mm ,Stainless Steel & Plated Rose Gold,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-28-5mm/01_561_7650_4334-07_5_14_11.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,28.5mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-28-5mm/01_561_7650_4034-07_5_14_11.html
Stainless Steel,,,Fixed,,Solid,36.5mm ,Stainless Steel,Round,5.95mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m,https://www.prestigetime.com/Baume-Mercier-Classima-Quartz-31mm-10335.html
Stainless Steel,,,Fixed,,Solid,36.5mm ,Stainless Steel,Round,5.65mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,50m,https://www.prestigetime.com/Baume-Mercier-Classima-Quartz-36mm-10356.html
Stainless Steel,,,,,Solid,33mm ,Stainless Steel,Round,5mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.11.6.html
Stainless Steel,,,,,Solid,33mm ,Stainless Steel,Round,5mm,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.71.6.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Stainless Steel,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4031-07_5_18_10.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4034-07_5_18_11.html
Alligator/Crocodile Leather,,,,,Solid,33mm ,PVD,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.1.91.2.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,27mm ,Stainless Steel,Round,9mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,Yes,300m,https://www.prestigetime.com/item/Tag-Heuer/Aquaracer-Quartz-Ladies-27mm/way1412.ba0920.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,27mm ,Stainless Steel,Round,9mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m,https://www.prestigetime.com/item/Tag-Heuer/Aquaracer-Quartz-Ladies-27mm/way1410.ba0920.html
Stainless Steel,,,Uni-Directional Rotating,,Solid,29.5mm ,Stainless Steel,Round,,Folding Clasp With Safety Latch,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Automatic-29mm/L3.284.4.56.6.html
Stainless Steel,,,Fixed,,Solid,25.8mm X 42mm ,Stainless Steel,Rectangle,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,19mm,Quartz,No,30m/100ft.,https://www.prestigetime.com/item/Longines/DolceVita-Quartz-Ladies-Mid-Size/L5.755.4.71.6.html
Stainless Steel,,,Fixed,,Solid,32mm ,Stainless Steel,Round,8.6mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Quartz,No,50m,https://www.prestigetime.com/Raymond-Weil-Shine-1600-ST-00618.html
Alligator/Crocodile Leather,,,,,Solid,33mm ,PVD,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.2.11.2.html
Stainless Steel,,,Fixed,,Solid,28mm ,Stainless Steel,Round,6.6mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5391-st-00995.html
Stainless Steel,,,,,Transparent,25.5mm ,Stainless Steel,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,13mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.321.4.12.6.html
Stainless Steel,,,,,Transparent,34.5mm ,Stainless Steel,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,18mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.821.4.11.6.html
Alligator/Crocodile Leather,,,,,Solid,24mm ,PVD,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-24mm/L4.209.2.11.2.html
Alligator/Crocodile Leather,,,,,Solid,24mm ,PVD,Round,5mm,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-24mm/L4.209.1.91.2.html
Calfskin Leather,,,Fixed,,Transparent,29mm ,Stainless Steel & Plated Rose Gold,Round,11.10mm,Tang Buckle,,,Brown,,New/Unworn,Plexiglass,Silver,,14mm,Automatic,No,50m,https://www.prestigetime.com/item/Oris/Big-Crown-Original-Pointer-Date-29mm/01_594_7695_4361-07_5_14_52.html
Stainless Steel,,,Fixed,,Solid,34mm ,Stainless Steel,Round,,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,Yes,300m,https://www.prestigetime.com/item/Longines/Conquest-Quartz-34mm/L3.377.4.87.6.html
Stainless Steel,,,Fixed,,Solid,34mm ,Stainless Steel,Round,,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m,https://www.prestigetime.com/item/Longines/Conquest-Quartz-34mm/L3.377.4.57.6.html
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,9.20mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Black,,,Quartz,Yes,300m,https://www.prestigetime.com/item/Longines/Conquest-Quartz-36mm/L3.378.4.57.6.html
